06:47:46 [INFO] pixel (17, 18)  terminal (17, 9)
06:47:46 [INFO] pixel (17, 18)  terminal (17, 9)
06:47:46 [INFO] pixel (17, 19)  terminal (17, 9)
06:47:46 [INFO] pixel (17, 19)  terminal (17, 9)
06:47:46 [INFO] pixel (17, 20)  terminal (17, 10)
06:47:46 [INFO] pixel (17, 20)  terminal (17, 10)
06:47:46 [INFO] pixel (17, 20)  terminal (17, 10)
06:47:46 [INFO] pixel (17, 21)  terminal (17, 10)
06:47:47 [INFO] pixel (18, 21)  terminal (18, 10)
06:47:47 [INFO] pixel (19, 21)  terminal (19, 10)
06:47:47 [INFO] pixel (19, 21)  terminal (19, 10)
06:47:47 [INFO] pixel (20, 21)  terminal (20, 10)
06:47:47 [INFO] pixel (20, 21)  terminal (20, 10)
06:47:47 [INFO] pixel (21, 21)  terminal (21, 10)
06:47:47 [INFO] pixel (21, 21)  terminal (21, 10)
06:47:48 [INFO] pixel (21, 20)  terminal (21, 10)
06:47:48 [INFO] pixel (21, 20)  terminal (21, 10)
06:47:48 [INFO] pixel (21, 19)  terminal (21, 9)
06:47:48 [INFO] pixel (21, 19)  terminal (21, 9)
06:47:48 [INFO] pixel (22, 19)  terminal (22, 9)
06:47:48 [INFO] pixel (22, 18)  terminal (22, 9)
06:47:48 [INFO] pixel (22, 18)  terminal (22, 9)
06:47:48 [INFO] pixel (22, 17)  terminal (22, 8)
06:47:48 [INFO] pixel (22, 17)  terminal (22, 8)
06:47:48 [INFO] pixel (22, 16)  terminal (22, 8)
06:47:48 [INFO] pixel (22, 16)  terminal (22, 8)
06:47:48 [INFO] pixel (22, 15)  terminal (22, 7)
06:47:48 [INFO] pixel (21, 15)  terminal (21, 7)
06:47:48 [INFO] pixel (21, 15)  terminal (21, 7)
06:47:49 [INFO] pixel (20, 15)  terminal (20, 7)
06:47:49 [INFO] pixel (20, 15)  terminal (20, 7)
06:47:49 [INFO] pixel (20, 14)  terminal (20, 7)
06:47:49 [INFO] pixel (19, 14)  terminal (19, 7)
06:47:49 [INFO] pixel (20, 14)  terminal (20, 7)
06:47:49 [INFO] pixel (20, 14)  terminal (20, 7)
06:47:49 [INFO] pixel (20, 14)  terminal (20, 7)
06:47:49 [INFO] pixel (20, 13)  terminal (20, 6)
06:47:49 [INFO] pixel (21, 13)  terminal (21, 6)
06:47:49 [INFO] pixel (21, 13)  terminal (21, 6)
06:47:49 [INFO] pixel (21, 12)  terminal (21, 6)
06:47:49 [INFO] pixel (22, 12)  terminal (22, 6)
06:47:49 [INFO] pixel (22, 12)  terminal (22, 6)
06:47:49 [INFO] pixel (23, 12)  terminal (23, 6)
06:47:49 [INFO] pixel (23, 11)  terminal (23, 5)
06:47:49 [INFO] pixel (23, 10)  terminal (23, 5)
06:47:49 [INFO] pixel (24, 10)  terminal (24, 5)
06:47:49 [INFO] pixel (24, 10)  terminal (24, 5)
06:47:50 [INFO] pixel (23, 10)  terminal (23, 5)
06:47:50 [INFO] pixel (23, 9)  terminal (23, 4)
06:47:50 [INFO] pixel (23, 9)  terminal (23, 4)
06:47:50 [INFO] pixel (22, 9)  terminal (22, 4)
06:47:50 [INFO] pixel (22, 8)  terminal (22, 4)
06:47:50 [INFO] pixel (22, 8)  terminal (22, 4)
06:47:50 [INFO] pixel (21, 8)  terminal (21, 4)
06:47:50 [INFO] pixel (21, 7)  terminal (21, 3)
06:47:50 [INFO] pixel (21, 7)  terminal (21, 3)
06:47:50 [INFO] pixel (20, 7)  terminal (20, 3)
06:47:50 [INFO] pixel (20, 7)  terminal (20, 3)
06:47:50 [INFO] pixel (20, 6)  terminal (20, 3)
06:47:50 [INFO] pixel (20, 5)  terminal (20, 2)
06:47:50 [INFO] pixel (19, 5)  terminal (19, 2)
06:47:50 [INFO] pixel (19, 5)  terminal (19, 2)
06:47:50 [INFO] pixel (18, 5)  terminal (18, 2)
06:47:50 [INFO] pixel (18, 5)  terminal (18, 2)
06:47:50 [INFO] pixel (17, 5)  terminal (17, 2)
06:47:51 [INFO] pixel (17, 5)  terminal (17, 2)
06:47:51 [INFO] pixel (17, 5)  terminal (17, 2)
06:47:51 [INFO] pixel (16, 5)  terminal (16, 2)
06:47:51 [INFO] pixel (16, 5)  terminal (16, 2)
06:47:51 [INFO] pixel (15, 5)  terminal (15, 2)
06:47:51 [INFO] pixel (15, 5)  terminal (15, 2)
06:47:51 [INFO] pixel (15, 6)  terminal (15, 3)
06:47:51 [INFO] pixel (14, 6)  terminal (14, 3)
06:47:51 [INFO] pixel (13, 6)  terminal (13, 3)
06:47:51 [INFO] pixel (13, 6)  terminal (13, 3)
06:47:51 [INFO] pixel (13, 6)  terminal (13, 3)
06:47:51 [INFO] pixel (12, 6)  terminal (12, 3)
06:47:51 [INFO] pixel (12, 7)  terminal (12, 3)
06:47:51 [INFO] pixel (12, 7)  terminal (12, 3)
06:47:51 [INFO] pixel (11, 7)  terminal (11, 3)
06:47:51 [INFO] pixel (11, 8)  terminal (11, 4)
06:47:52 [INFO] pixel (11, 8)  terminal (11, 4)
06:47:52 [INFO] pixel (10, 8)  terminal (10, 4)
06:47:52 [INFO] pixel (10, 9)  terminal (10, 4)
06:47:52 [INFO] pixel (9, 9)  terminal (9, 4)
06:47:52 [INFO] pixel (9, 9)  terminal (9, 4)
06:47:52 [INFO] pixel (9, 10)  terminal (9, 5)
06:47:52 [INFO] pixel (9, 10)  terminal (9, 5)
06:47:52 [INFO] pixel (8, 10)  terminal (8, 5)
06:47:52 [INFO] pixel (8, 11)  terminal (8, 5)
06:47:52 [INFO] pixel (8, 11)  terminal (8, 5)
06:47:52 [INFO] pixel (8, 12)  terminal (8, 6)
06:47:52 [INFO] pixel (8, 13)  terminal (8, 6)
06:47:52 [INFO] pixel (8, 13)  terminal (8, 6)
06:47:52 [INFO] pixel (8, 14)  terminal (8, 7)
06:47:52 [INFO] pixel (9, 14)  terminal (9, 7)
06:47:52 [INFO] pixel (9, 14)  terminal (9, 7)
06:47:52 [INFO] pixel (10, 14)  terminal (10, 7)
06:47:52 [INFO] pixel (10, 15)  terminal (10, 7)
06:47:52 [INFO] pixel (10, 15)  terminal (10, 7)
06:47:53 [INFO] pixel (10, 16)  terminal (10, 8)
06:47:53 [INFO] pixel (11, 16)  terminal (11, 8)
06:47:53 [INFO] pixel (11, 16)  terminal (11, 8)
06:47:53 [INFO] pixel (11, 17)  terminal (11, 8)
06:47:53 [INFO] pixel (12, 17)  terminal (12, 8)
06:47:53 [INFO] pixel (12, 17)  terminal (12, 8)
06:47:53 [INFO] pixel (12, 18)  terminal (12, 9)
06:47:53 [INFO] pixel (13, 18)  terminal (13, 9)
06:47:53 [INFO] pixel (13, 18)  terminal (13, 9)
06:47:53 [INFO] pixel (13, 19)  terminal (13, 9)
06:47:53 [INFO] pixel (13, 19)  terminal (13, 9)
06:47:53 [INFO] pixel (13, 20)  terminal (13, 10)
06:47:53 [INFO] pixel (14, 20)  terminal (14, 10)
